pitch_type,release_speed,release_spin_rate,plate_x,plate_z,type,balls,strikes,events
SL,92.5,2516,1.6073,1.5285,S,0,1,NA
SL,93.1,2453,1.0932,1.7968,S,0,0,NA
FF,97.1,2465,0.3218,3.7169,X,0,2,double
FF,96.7,2525,-0.6332,3.5013,S,0,1,NA
SL,91.8,2461,0.6214,1.8782,S,0,0,NA
FF,97.3,2418,0.4236,2.995,X,2,2,single
FF,96.7,2330,0.433,4.0417,S,2,2,NA
SL,92.6,2545,1.0577,1.8499,S,2,2,NA
FF,97.7,2491,-0.6386,4.0751,B,1,2,NA
FF,97.1,2453,-0.4305,3.0417,S,1,1,NA
CH,88.5,1620,-0.1495,1.9119,S,1,0,NA
FF,96,2369,-1.4783,3.5272,B,0,0,NA
FF,96.6,2264,-0.6553,2.6176,X,0,0,single
FF,97.2,2441,-0.2492,3.2592,X,0,2,grounded_into_double_play
CH,89.5,1732,0.0236,1.3291,S,0,1,NA
FF,96.3,2361,0.0348,2.5957,S,0,0,NA
FF,95.9,2348,1.1091,2.1981,B,3,0,walk
SL,91.8,2474,1.0691,0.7543,B,2,0,NA
FF,96.8,2391,1.0649,1.5254,B,1,0,NA
SL,91.1,2422,1.6735,1.9255,B,0,0,NA
FF,98,2491,-0.6149,2.1071,S,0,2,strikeout
SL,92.6,2670,1.0103,1.4137,S,0,1,NA
CH,89.6,1690,-0.1254,1.5884,S,0,0,NA
FF,96.6,2371,0.7128,2.0688,S,1,2,strikeout
FF,96.3,2388,0.7461,2.6972,S,1,1,NA
FF,96.6,2355,1.5844,2.6028,B,0,1,NA
FF,96.4,2412,0.7779,2.6935,S,0,0,NA
SL,90.8,2580,0.8595,1.6216,X,0,1,field_out
FF,95,2332,0.9207,2.4233,S,0,0,NA
SL,92.1,2455,0.8194,2.6845,X,3,2,field_out
FF,97.5,2321,0.6223,1.524,B,2,2,NA
FF,97.4,2371,0.0392,2.4743,S,2,1,NA
FF,98.1,2379,1.2491,1.7057,B,1,1,NA
FF,97.8,2331,1.7281,1.0826,B,0,1,NA
FF,97.1,2336,0.2191,2.8311,S,0,0,NA
SL,91.9,2645,1.2747,1.98,S,0,2,strikeout
FF,97.2,2419,0.5416,3.3623,S,0,2,NA
FF,96.7,2387,0.0668,3.2297,S,0,2,NA
FF,96.2,2387,-0.2072,3.9359,S,0,1,NA
FF,96.8,2374,-0.6869,3.7997,S,0,0,NA
FF,96.8,2410,0.4953,3.0881,X,3,2,field_out
FF,96.4,2405,-0.9005,2.4497,B,2,2,NA
FF,96.9,2336,0.572,3.1122,S,2,2,NA
FF,96.8,2306,-0.5028,2.5164,S,2,1,NA
FF,96.6,2323,-0.4423,3.5825,B,1,1,NA
FF,96.1,2294,0.0186,1.7762,S,1,0,NA
FF,95.8,2236,-0.0803,3.8275,B,0,0,NA
FF,97.5,2423,0.7177,3.185,S,1,2,strikeout
SL,92,2463,0.9554,2.3638,S,1,1,NA
FF,97.9,2473,0.1793,1.9404,S,1,0,NA
FF,97.7,2597,0.5392,0.9297,B,0,0,NA
FF,98.8,2588,0.673,1.9448,S,1,2,strikeout
FF,98,2529,-0.1554,2.9765,S,1,1,NA
FF,97.4,2543,0.3383,1.7729,S,1,0,NA
SL,91.4,2508,1.541,0.4166,B,0,0,NA
FF,97.4,2430,-0.2343,1.9386,S,0,2,strikeout
